CrashID,CrashDate,Year,Month,Day,CrashTime,Severity,SevIndex,CrashType,Pedestrians,Casualties,ReportedLocation,Location,Latt,Long,Fad1201,Fad1202,Fad1203,Fad1204,Fad1205,Fad1206,Fad1207,Fad1208,Fad1209,Fad1210,Fad1211,Fad1212,Fad1301,Fad1302,Fad1303,Fad1304,Fad1305,Fad1306,Fad1307,Fad1308,Fad1309,Fad1310,Fad1311,Fad1312,Fad1401,Fad1402,Fad1403,Fad1404,Fad1405,Fad1406,Fad1407,Fad1408,Fad1409,Fad1410,Fad1411,Fad1412,Fad1501,Fad1502,Fad1503,Fad1504,Fad1505,Fad1506,Fad1507,Fad1508,Fad1509,Fad1510,Fad1511,Fad1512,Fad1601,Fad1602,Fad1603,Fad1604,Fad1605,Fad1606,Fad1607,Fad1608,Fad1609,Fad1610,Fad1611,Fad1612,Fad1701,Fad1702,Fad1703,Fad1704,Fad1705,Fad1706,Fad1707,Fad1708,Fad1709,Fad1710,Fad1711,Fad1712,Fad1801,Fad1802,Fad1803,Fad1804,Fad1805,Fad1806,Fad1807,Fad1808,Fad1809,Fad1810,Fad1811,Fad1812
1098277,10/11/2014,2014,11,10,6:32,Injury,0.7,Struck pedestrian (Off Road),1,1,COMPANION CRESCENT (MEIKLEJOHN -> SANDERSON),"(-35.209088, 149.042738)",-35.209088,149.042738,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.921208143,0.875147736,0.829970072,0.78712461,0.75032979,0.711595591,0.676015811,0.641117915,0.609062019,0.577620471,0.547802028,0.520411926,0.493546753,0.468869416,0.444665017,0.421710119,0.401310178,0.380593383,0.361563713,0.342898746,0.325753809,0.308937453,0.292989205,0.278339745,0.26397104,0.250772488,0.237826885,0.225549572,0.215006062,0.203906826,0.193711484,0.183711536,0.174525959,0.165516423,0.156971985,0.149123386,0.141425204,0.134353944,0.127418204,0.120840507,0.115191713,0.109245183,0.103782923,0.098425348,0.093504081,0.088677129,0.084099358,0.07989439,0.07577001,0.07198151
1040221,25/07/2012,2012,7,25,16:19,Injury,0.7,Struck pedestrian (On Road),1,1,GIRRAHWEEN/MASSON/NORTHBOURNE INTERSECTION,"(-35.270307, 149.130366)",-35.270307,149.130366,1,1,1,1,1,1,0.945139613,0.896348765,0.850076643,0.807572811,0.76588356,0.727589382,0.690029108,0.654407805,0.623816947,0.591613707,0.562033022,0.533019247,0.506368285,0.480228086,0.455437319,0.432665453,0.410330008,0.389813507,0.369690204,0.350605723,0.334216356,0.316963138,0.301114982,0.285570553,0.271292025,0.257287144,0.244005236,0.231804974,0.219838529,0.208846603,0.198065335,0.187840628,0.179059856,0.169816267,0.161325454,0.152997366,0.145347498,0.137844238,0.130728319,0.124191903,0.117780757,0.111891719,0.106115544,0.100637552,0.095769278,0.090825391,0.086284121,0.081829884,0.07773839,0.073725309,0.069919395,0.066423425,0.062994455,0.059844733,0.056755374,0.053825497,0.051309378,0.048660639,0.046227607,0.043841204,0.041649143,0.039499094,0.037460036,0.035587034,0.033749928,0.032062432,0.030407276,0.028837565,0.027489528,0.026070439,0.024766917,0.023488377,0.022313958,0.021162046,0.0200696,0.01906612,0.018081872,0.017177778
1130528,9/02/2015,2015,2,9,16:08,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,BUNDA/NORTHBOURNE/RUDD INTERSECTION,"(-35.277135, 149.129453)",-35.277135,149.129453,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.841904373,0.76305488,0.684341747,0.615907572,0.552373459,0.497136113,0.445853903,0.399861722,0.35987555,0.32275249,0.290477241,0.260512982,0.233639695,0.211015516,0.189248153,0.170323338,0.152753587,0.137478229,0.123296625,0.110577928,0.099520135,0.089254109,0.080328698,0.072042369,0.064610819,0.058559621,0.052518887,0.047266998,0.042391158,0.038152042,0.034216458,0.03068685,0.027618165,0.024769206,0.022292285,0.019992718,0.017930364,0.016251076,0.014574692,0.013117223,0.011764112,0.010587701,0.009495524,0.00851601,0.007664409,0.006873785,0.006186407
1074786,12/05/2013,2013,5,12,10:45,Injury,0.7,Struck pedestrian (On Road),1,1,DE BORTOLI/FARRAN INTERSECTION,"(-35.189022, 149.151287)",-35.189022,149.151287,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.924363656,0.876645323,0.832813057,0.789820832,0.74904799,0.711595591,0.674860963,0.641117915,0.608021549,0.576633713,0.549678472,0.521302475,0.495237352,0.469671763,0.446188175,0.423154648,0.401310178,0.381244669,0.361563713,0.343485528,0.325753809,0.308937453,0.294495904,0.279293172,0.265328513,0.251631486,0.239049912,0.226709462,0.215006062,0.204255759,0.193711484,0.18402591,0.174525959,0.165516423,0.157509678,0.149378572,0.141909643,0.134583856,0.127854663,0.121254435,0.114994929,0.109245183,0.103605629,0.098425348,0.093344346,0.08852564,0.084387433,0.080031109,0.076029553,0.072104687,0.068499453,0.064963313,0.061609718,0.058529232,0.055507783,0.052732394,0.050010195,0.047428524,0.045211436,0.042877491,0.040733616,0.038630829,0.036699288,0.034804764,0.033008041,0.031357639,0.029738867,0.028251923
1028560,11/02/2012,2012,2,11,17:00,Injury,0.7,Struck pedestrian (On Road),1,1,MACKNIGHT/MERRIMAN INTERSECTION,"(-35.403489, 149.13005)",-35.403489,149.13005,1,0.922784551,0.878145473,0.832813057,0.791172404,0.75032979,0.712813301,0.676015811,0.641117915,0.609062019,0.577620471,0.548739448,0.520411926,0.493546753,0.470475484,0.446188175,0.423878766,0.401996915,0.38189707,0.362182435,0.343485528,0.326311251,0.309466118,0.293992812,0.278816051,0.264422758,0.252062088,0.239049912,0.227097416,0.215373989,0.204605289,0.194042971,0.18402591,0.174824615,0.165799661,0.157509678,0.149378572,0.141667217,0.13504486,0.128073453,0.12166978,0.115388833,0.109619392,0.103960521,0.098593777,0.093664088,0.088828877,0.084387433,0.080031109,0.075899671,0.072228076,0.068499453,0.06507448,0.061715147,0.05862939,0.05560277,0.052732394,0.050095775,0.047509685,0.045134201,0.042804243,0.040594564,0.038696936,0.036699288,0.034864323,0.033064526,0.031411299,0.029789757,0.028251923,0.026839327,0.025453803,0.024181113,0.022932814,0.021748956,0.020732282,0.019662021,0.01867892,0.01771466,0.016828927,0.015960169,0.015136259,0.014379446,0.013637137,0.012955281
1108216,28/03/2015,2015,3,28,9:00,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,CARTWRIGHT STREET (KERR -> CLAMBE),"(-35.199627, 149.034406)",-35.199627,149.034406,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.807160256,0.72644423,0.651507678,0.58635691,0.525871104,0.471624728,0.424462255,0.380676736,0.342609062,0.307267131,0.275570907,0.248886376,0.223212435,0.200891191,0.180168206,0.162151385,0.145424615,0.130423299,0.117380969,0.105272504,0.094745253,0.084971781,0.076206494,0.06906929,0.061944428,0.055749985,0.049999081,0.044999173,0.040357271,0.036194205,0.032574785,0.029214524,0.026293072,0.023580803,0.021148319,0.019167649,0.017190405,0.015471365,0.013875412,0.012487871,0.011199681,0.010044375,0.009039937,0.00810742,0.007296678
1087660,3/05/2014,2014,5,3,16:38,Injury,0.7,Struck pedestrian (On Road),1,1,FLEMINGTON ROAD (EPIC ACCESS -> RANDWICK),"(-35.231865, 149.144931)",-35.231865,149.144931,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.910248439,0.863258775,0.820095837,0.777760111,0.737609879,0.700729385,0.664555702,0.631327917,0.598736939,0.567828402,0.541284773,0.513342083,0.487674979,0.462499783,0.439374793,0.416692992,0.395182092,0.375422987,0.356042564,0.338240436,0.320779484,0.304219916,0.289503484,0.274558475,0.260830551,0.247365721,0.234997435,0.222866186,0.211361187,0.200793128,0.190427605,0.180906224,0.17156732,0.162710518,0.155104474,0.147097531,0.139742655,0.132528734,0.125902297,0.119402855,0.113238934,0.107576987,0.102023551,0.096922373,0.091918959,0.087173836,0.08309882,0.078809018,0.074868567,0.071003634,0.067453453,0.06397131,0.060668925,0.057635479,0.054660169,0.05192716
1097673,16/10/2014,2014,10,16,10:20,Injury,0.7,Struck pedestrian (On Road),1,1,ANTILL/MOUAT/NORTHBOURNE INTERSECTION,"(-35.248265, 149.134115)",-35.248265,149.134115,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.930707144,0.882661342,0.838528275,0.795241014,0.754188367,0.71893318,0.681819764,0.647728776,0.614291138,0.583576581,0.553450666,0.524879938,0.498635941,0.472894907,0.449250162,0.426058566,0.404064187,0.384517856,0.364667929,0.346434533,0.328550577,0.312123049,0.296010352,0.280729439,0.266692967,0.252925503,0.240279228,0.227875317,0.216111732,0.206009403,0.1953746,0.18560587,0.176024357,0.167223139,0.158590595,0.150403689,0.142883505,0.135507444,0.128732072,0.122086549,0.115784087,0.11037166,0.104673955,0.099440257,0.094306863,0.089591519,0.084966545,0.080580326,0.07655131,0.072599509,0.068969534
1037851,22/05/2012,2012,5,22,15:00,Injury,0.7,Struck pedestrian (On Road),1,1,LONDON/WEST INTERSECTION,"(-35.279440, 149.127678)",-35.279440,149.127678,1,1,1,1,0.940304093,0.891762869,0.847174725,0.803441109,0.761965149,0.723866892,0.686498784,0.652173845,0.618506739,0.586577628,0.55915755,0.530292216,0.503777605,0.477771144,0.453882587,0.430451852,0.408230679,0.387819145,0.367798796,0.349408856,0.331371358,0.314265007,0.299574418,0.284109518,0.269904042,0.255970813,0.243172272,0.230619014,0.218713792,0.207778102,0.197051994,0.187199394,0.177535619,0.168370715,0.160500081,0.152214601,0.144603871,0.137139,0.13028205,0.123556513,0.117178167,0.111319259,0.105572636,0.100294004,0.095116537,0.090206345,0.085842674,0.081411227,0.077340665,0.073348116,0.06968071,0.06608359,0.062672163,0.059538555,0.056465002,0.053641752,0.050872609,0.048246418,0.045991097,0.043616903,0.041436058,0.039297009,0.037332158,0.035404964,0.033577257,0.031898394,0.030251707,0.028739121,0.027255525,0.025848515,0.024640204,0.023368205,0.022199795,0.021053777,0.020001088,0.018968574,0.017989361,0.017089893,0.016207664,0.01539728
1060764,30/04/2013,2013,4,30,13:00,Property Damage Only,0.1,Struck pedestrian (On Road),1,0,BARKER STREET (STUART -> THROSBY),"(-35.328145, 149.142419)",-35.328145,149.142419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.815709496,0.731564762,0.658408285,0.59049,0.529577844,0.476620059,0.427454188,0.384708769,0.345024031,0.309432984,0.280452693,0.251522519,0.226370267,0.203018981,0.182717083,0.163868852,0.146964916,0.132268425,0.118624239,0.106761816,0.095748771,0.085871781,0.077829364,0.069800854,0.062820769,0.056340475,0.050706428,0.045475793,0.040784725,0.036706252,0.032919809,0.029627828,0.026571561,0.023830565,0.021522965,0.019302757,0.017372482,0.015580419,0.014022377,0.012575895,0.011278625,0.010150762,0.009103658,0.008193292,0.007348111,0.006590114,0.00597291,0.005356773,0.004821095,0.004323774,0.003891397,0.003489979,0.003129969,0.002816972,0.002526386,0.002273748,0.002039199,0.001828845,0.001657562,0.001486576,0.001337918,0.001199905,0.001079914,0.000968516,0.000868608,0.000781747,0.000701106,0.000630995
